표제어	품사	세종태그	어깨번호	뜻풀이	지역
드무닥드무득	[부사][방언]	MAG	00_00_00	간간이	11, 12
드어리	[명사][방언]	NNG	00_00_00	등	4, 6, 7, 8, 9, 10, 11, 12
드에	[명사][방언]	NNG	00_00_00	등에	4, 6, 7, 11, 12, 16, 18
든눗다	[동사][방언]	VV	00_00_00	드러눕다	12
들꽤	[명사][방언]	NNG	00_00_00	들깨	8, 9, 10, 12
들망뻬	[명사][방언]	NNG	00_00_00	등골뼈	11, 12, 18
들머슴	[명사][방언]	NNG	00_00_00	선머슴	11, 12
들명날명	[부사][방언]	MAG	00_00_00	들락날락	11, 12
들명날명하다	[동사][방언]	VV	00_00_00	들락날락하다	11, 12
들벅거리다	[동사][방언]	VV	00_00_00	북적거리다	11, 12
들벅대다	[동사][방언]	VV	00_00_00	북적대다	11, 12
들볕	[명사][방언]	NNG	00_00_00	나무말미	11, 12
들뵊이다	[동사][방언]	VV	00_00_00	들볶이다	8, 9, 12
들뵊히다	[동사][방언]	VV	00_00_00	들볶이다	11, 12
들쌀	[명사][방언]	NNG	01_00_00	등쌀	12
들쑤석거리다	[동사][방언]	VV	00_00_00	들쑤시다	11, 12
들쑤석이다	[동사][방언]	VV	00_00_00	들쑤시다	11, 12
들쑹거리다	[동사][방언]	VV	00_00_00	들썽거리다	11, 12
들쑹날쑹	[부사][방언]	MAG	00_00_00	들쑥날쑥	11, 12
들충나무	[명사][방언]	NNG	00_00_00	사철나무	11, 12
듬듬하다	[형용사][방언]	VA	00_00_00	무수다	11, 12
듬뻑	[부사][방언]	MAG	00_00_00	듬뿍	12
등말하다	[동사][방언]	VV	00_00_00	목물하다	5, 6, 12
등어리	[명사][방언]	NNG	00_00_00	등	4, 6, 11, 12
등장불	[명사][방언]	NNG	00_00_00	등잔불	5, 12
등줄뻬	[명사][방언]	NNG	00_00_00	등골뼈	11, 12, 18
등크락	[명사][방언]	NNG	00_00_00	등걸	12
등크래기	[명사][방언]	NNG	00_00_00	등걸	12
등크렁	[명사][방언]	NNG	00_00_00	등걸	12
디간	[명사][방언]	NNG	00_00_00	뒷간	7, 8, 11, 12, 18
디끔치	[명사][방언]	NNG	00_00_00	뒤꿈치	6, 11, 12, 18
디다보다	[동사][방언]	VV	00_00_00	들여다보다	5, 6, 8, 12
디딤발이	[명사][방언]	NNG	00_00_00	뒤뚱발이	11, 12
디똥시	[명사][방언]	NNG	00_00_00	뒤통수	12
디려다보다	[동사][방언]	VV	00_00_00	들여다보다	5, 8, 11, 12
디안	[명사][방언]	NNG	01_00_00	뒤꼍	6, 12
디장	[명사][방언]	NNG	02_00_00	된장	6, 7, 12, 20
디접다	[동사][방언]	VV	00_00_00	뒤집다	12
디퉁수	[명사][방언]	NNG	00_00_00	뒤통수	6, 7, 8, 11, 12, 18
디퉁시	[명사][방언]	NNG	00_00_00	뒤통수	6, 7, 8, 9, 11, 12, 18, 20
딜이다보다	[동사][방언]	VV	00_00_00	들여다보다	5, 6, 8, 9, 12
딤배	[명사][방언]	NNG	00_00_00	담배	4, 6, 7, 8, 9, 11, 12
딧간	[명사][방언]	NNG	00_00_00	뒷간	6, 9, 11, 12, 13, 14
딩게	[명사][방언]	NNG	00_00_00	등겨	4, 6, 12
딩겨	[명사][방언]	NNG	00_00_00	등겨	7, 11, 12
딩구르다	[동사][방언]	VV	00_00_00	구르다	12
딩굴어다니다	[동사][방언]	VV	00_00_00	굴러다니다	12
따개다	[동사][방언]	VV	00_00_00	짜개다	7, 12
따구	[명사][방언]	NNG	00_00_00	뺨따귀	5, 6, 12
따깡	[명사][방언]	NNG	00_00_00	뚜껑	5, 11, 12
따다	[동사][방언]	VV	04_00_00	열다	12
따두배채	[명사][방언]	NNG	00_00_00	양배추	11, 12, 18
따듬다	[동사][방언]	VV	00_00_00	다듬다	4, 6, 7, 8, 9, 12, 14
따듬독	[명사][방언]	NNG	00_00_00	다듬잇돌	8, 12
따듬방매이	[명사][방언]	NNG	00_00_00	다듬잇방망이	9, 12
따듬이	[명사][방언]	NNG	00_00_00	다듬이질	6, 12
따듬이질	[명사][방언]	NNG	00_00_00	다듬이질	7, 8, 9, 12
따디미	[명사][방언]	NNG	01_00_00	다듬이	6, 12
따디미독	[명사][방언]	NNG	00_00_00	다듬잇돌	12
따름따름하다	[형용사][방언]	VA	00_00_00	달랑달랑하다	11, 12
따배리	[명사][방언]	NNG	00_00_00	똬리	12
따배이	[명사][방언]	NNG	00_00_00	똬리	4, 6, 7, 12
따뱅이	[명사][방언]	NNG	00_00_00	똬리	4, 6, 7, 8, 9, 12
따봐리	[명사][방언]	NNG	00_00_00	똬리	12
따울	[명사][방언]	NNG	00_00_00	딸기	9, 11, 12
따치다	[동사][방언]	VV	00_00_00	다치다	12
딱딱구리	[명사][방언]	NNG	02_00_00	딱따구리	6, 7, 8, 11, 12, 14, 16, 18, 20
딱재기	[명사][방언]	NNG	00_00_00	달궁이	4, 5, 6, 7, 8, 9, 10, 11, 12
딱징이	[명사][방언]	NNG	00_00_00	딱지	11, 12, 18
딱치기	[명사][방언]	NNG	00_00_00	딱지치기	12
딲다	[동사][방언]	VV	00_00_00	닦다	4, 5, 6, 7, 8, 9, 10, 11, 12
딸	[명사][방언]	NNG	03_00_00	딸기	4, 6, 7, 8, 11, 12
딸구	[명사][방언]	NNG	00_00_00	딸기	4, 5, 7, 12
딸깍질	[명사][방언]	NNG	00_00_00	딸꾹질	5, 11, 12
딸꼭	[부사][방언]	MAG	00_00_00	딸꾹	5, 11, 12
딸꼭거리다	[동사][방언]	VV	00_00_00	딸꾹거리다	5, 11, 12
딸꼭대다	[동사][방언]	VV	00_00_00	딸꾹대다	5, 11, 12
딸꼭딸꼭	[부사][방언]	MAG	00_00_00	딸꾹딸꾹	5, 11, 12
딸뀍이	[명사][방언]	NNG	00_00_00	딸꾹질	4, 12
딸다	[동사][방언]	VV	01_00_00	따르다	4, 8, 10, 11, 12
딸라이	[명사][방언]	NNG	00_00_00	방울	4, 9, 12
딸래이	[명사][방언]	NNG	00_00_00	방울	9, 12
딸르다	[형용사][방언]	VA	00_00_00	다르다	12
땀떼기	[명사][방언]	NNG	00_00_00	땀띠	6, 11, 12
땅가아지	[명사][방언]	NNG	00_00_00	땅강아지	4, 6, 7, 9, 12
땅개비	[명사][방언]	NNG	00_00_00	방아깨비	5, 6, 8, 9, 11, 12
땅금	[명사][방언]	NNG	02_00_00	땅거미	4, 5, 12
땅띰	[명사][방언]	NNG	00_00_00	짐작	11, 12
땅찜	[명사][방언]	NNG	02_00_00	짐작	11, 12
때곤때곤하다	[형용사][방언]	VA	00_00_00	쩌렁쩌렁하다	11, 12
때까치	[명사][방언]	NNG	02_00_00	방아깨비	5, 11, 12
때자국	[명사][방언]	NNG	00_00_00	때	4, 6, 7, 11, 12
때짜구	[명사][방언]	NNG	00_00_00	때	7, 12
땡기다	[동사][방언]	VV	01_00_00	당기다	4, 6, 7, 8, 9, 11, 12, 13, 14, 18, 19, 20
땡끼	[명사][방언]	NNG	00_00_00	땅벌	8, 11, 12
땡끼벌	[명사][방언]	NNG	00_00_00	땅벌	11, 12
땡보	[명사][방언]	NNG	01_00_00	애꾸	12
땡삐	[명사][방언]	NNG	00_00_00	땅벌	4, 6, 7, 12
땡하다	[형용사][방언]	VA	00_00_00	띵하다	11, 12, 18
떠다	[동사][방언]	VV	01_00_00	뜨다	9, 10, 12
떠다	[동사][방언]	VV	02_00_00	뜨다	12, 14, 15, 19, 20
떠더리	[명사][방언]	NNG	00_00_00	떠버리	11, 12
떠들떠들하다	[동사][방언]	VV	01_00_00	떠들썩하다	11, 12
떠들떠들하다	[형용사][방언]	VA	02_00_00	떠들썩하다	11, 12
떠듬이	[명사][방언]	NNG	00_00_00	말더듬이	9, 11, 12
떡가랑잎나무	[명사][방언]	NNG	00_00_00	떡갈나무	8, 12
떡가래	[명사][방언]	NNG	00_00_00	가래떡	12
떡갈낭구	[명사][방언]	NNG	00_00_00	떡갈나무	4, 5, 7, 12
떡과우리	[명사][방언]	NNG	00_00_00	광주리	12
떡광주리	[명사][방언]	NNG	00_00_00	광주리	4, 12
떡대기	[명사][방언]	NNG	00_00_00	깍두기	11, 12, 18
떡보리	[명사][방언]	NNG	02_00_00	보리수	11, 12
떡씨루망개	[명사][방언]	NNG	00_00_00	시룻밑	12
떡씨루망그	[명사][방언]	NNG	00_00_00	시룻밑	12
떤지다	[동사][방언]	VV	00_00_00	던지다	4, 6, 7, 8, 9, 11, 12, 14, 18, 19, 20
떨꾹이	[명사][방언]	NNG	00_00_00	딸꾹질	11, 12
떼놈	[명사][방언]	NNG	00_00_00	되놈	4, 6, 7, 11, 12
떼똑하다	[형용사][방언]	VA	02_00_00	짤막하다	11, 12
또랑	[명사][방언]	NNG	01_00_00	도랑	5, 6, 7, 11, 12, 13, 14, 15, 16, 17
또마	[명사][방언]	NNG	00_00_00	도마	12
또바라	[명사][방언]	NNG	00_00_00	똬리	12
또배리	[명사][방언]	NNG	00_00_00	똬리	12
또배이	[명사][방언]	NNG	00_00_00	똬리	4, 11, 12
또뱅이	[명사][방언]	NNG	00_00_00	똬리	11, 12
또이또이	[부사][방언]	MAG	00_00_00	똑똑히	11, 12
또학	[명사][방언]	NNG	00_00_00	초학	12
똑때기	[명사][방언]	NNG	00_00_00	깍두기	9, 12
똑땍이	[부사][방언]	MAG	00_00_00	똑똑히	4, 8, 11, 12
똑뙥이	[부사][방언]	MAG	00_00_00	똑똑히	5, 12
똑뙥히	[부사][방언]	MAG	00_00_00	똑똑히	12
똑띡이	[부사][방언]	MAG	00_00_00	똑똑히	4, 6, 11, 12
똑바루	[부사][방언]	MAG	00_00_00	똑바로	4, 11, 12
똑바루하다	[형용사][방언]	VA	00_00_00	가지런하다	12
똘	[명사][방언]	NNG	01_00_00	도랑	5, 8, 11, 12
똘물	[명사][방언]	NNG	00_00_00	갯물	11, 12, 18
똥구녁	[명사][방언]	NNG	00_00_00	똥구멍	8, 11, 12, 18
똥구녕	[명사][방언]	NNG	00_00_00	똥구멍	4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 20
똥구먹	[명사][방언]	NNG	00_00_00	똥구멍	8, 9, 11, 12
똥깔보	[명사][방언]	NNG	00_00_00	똥갈보	4, 6, 7, 8, 9, 11, 12
똥딧간	[명사][방언]	NNG	00_00_00	뒷간	12
똥방아	[명사][방언]	NNG	00_00_00	궁둥방아	12
똥별	[명사][방언]	NNG	00_00_00	별똥별	11, 12, 18
똬바리	[명사][방언]	NNG	00_00_00	똬리	12
뙈리	[명사][방언]	NNG	00_00_00	똬리	5, 11, 12
뙈미	[명사][방언]	NNG	00_00_00	똬리	5, 12
뙤똑하다	[형용사][방언]	VA	02_00_00	짤막하다	11, 12
뚜깡	[명사][방언]	NNG	00_00_00	뚜껑	12
뚜껍다	[형용사][방언]	VA	00_00_00	두껍다	4, 6, 7, 8, 9, 10, 11, 12, 14, 18, 19, 20
뚜께	[명사][방언]	NNG	02_00_00	두께	6, 8, 10, 12
뚜께	[명사][방언]	NNG	01_00_00	뚜껑	4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16
뚜꼉	[명사][방언]	NNG	00_00_00	뚜껑	4, 9, 12
뚜꽁	[명사][방언]	NNG	00_00_00	뚜껑	12
뚜더지	[명사][방언]	NNG	00_00_00	두더지	11, 12, 18
뚜럴	[명사][방언]	NNG	00_00_00	뜰	12
뚜렁	[명사][방언]	NNG	00_00_00	두렁	4, 5, 12, 13, 14, 18, 19
뚜레	[명사][방언]	NNG	00_00_00	두레박	12
뚜레박	[명사][방언]	NNG	00_00_00	두레박	4, 6, 7, 11, 12
뚜루박	[명사][방언]	NNG	00_00_00	두레박	6, 7, 12, 20
뚜룸박	[명사][방언]	NNG	00_00_00	두레박	6, 7, 12
뚜름박	[명사][방언]	NNG	00_00_00	두레박	12
뚜름박샘	[명사][방언]	NNG	00_00_00	두레우물	12
뚜물	[명사][방언]	NNG	01_00_00	진딧물	8, 9, 12
뚜바리	[명사][방언]	NNG	01_00_00	똬리	12
뚜아리	[명사][방언]	NNG	00_00_00	똬리	5, 11, 12, 17
뚜와리	[명사][방언]	NNG	00_00_00	똬리	4, 12
뚝셍이	[명사][방언]	NNG	00_00_00	둑	11, 12
뚤	[명사][방언]	NNG	02_00_00	뜰	12
뚧다	[동사][방언]	VV	00_00_00	뚫다	4, 6, 7, 12, 15, 16
뚧어지다	[동사][방언]	VV	00_00_00	뚫리다	12
뚬뵈기	[명사][방언]	NNG	00_00_00	뜸부기	9, 11, 12
뚱굴다	[형용사][방언]	VA	00_00_00	둥글다	6, 8, 9, 12
뚱뚜이	[명사][방언]	NNG	00_00_00	뚱뚱이	12
뚱띵이	[명사][방언]	NNG	00_00_00	뚱뚱이	8, 9, 11, 12, 15
뜀바꾸질	[명사][방언]	NNG	00_00_00	뜀박질	12
뜨랑	[명사][방언]	NNG	01_00_00	뜰	11, 12
뜨랑	[명사][방언]	NNG	02_00_00	토방	11, 12
뜨럭	[명사][방언]	NNG	00_00_02	토방	4, 12
뜨럴	[명사][방언]	NNG	00_00_00	뜰	12
뜨레샘	[명사][방언]	NNG	00_00_00	두레우물	12
뜨루박	[명사][방언]	NNG	00_00_00	두레박	7, 12
