표제어	품사	세종태그	어깨번호	뜻풀이	지역
탁싱가리	[명사][방언]	NNG	00_00_00	턱주가리	13, 14, 19
터디다	[동사][방언]	VV	00_00_00	터지다	13, 14, 16, 18, 19
턱석부리	[명사][방언]	NNG	01_00_00	구레나룻	13, 14, 19
턴디	[명사][방언]	NNG	00_00_00	천지	13, 14, 19
턴지	[명사][방언]	NNG	00_00_00	천지	14, 19
턴필	[명사][방언]	NNG	00_00_00	철필	13, 14, 16, 18, 19
털도	[명사][방언]	NNG	00_00_00	철도	13, 14, 19
털보런	[명사][방언]	NNG	00_00_00	담요	14, 19
털엇	[명사][방언]	NNG	00_00_00	털옷	6, 14, 19
털입성	[명사][방언]	NNG	00_00_00	털옷	13, 14, 19
털필	[명사][방언]	NNG	00_00_00	철필	13, 14, 19
테육	[명사][방언]	NNG	00_00_00	체육	13, 14, 19
테조	[명사][방언]	NNG	00_00_00	체조	13, 14, 19
통셋간	[명사][방언]	NNG	00_00_00	변소	13, 14, 19
퇭마루	[명사][방언]	NNG	00_00_00	툇마루	13, 14, 19
툼	[명사][방언]	NNG	00_00_00	틈	13, 14, 19
퉁수	[명사][방언]	NNG	00_00_00	퉁소	5, 6, 7, 8, 9, 11, 12, 18, 19, 20
티로	[명사][방언]	NNG	00_00_00	치료	13, 14, 19
티료	[명사][방언]	NNG	00_00_00	치료	14, 16, 18, 19
판쪽	[명사][방언]	NNG	00_00_00	판때기	13, 14, 19
팔고배	[명사][방언]	NNG	00_00_00	팔꿈치	13, 14, 19
팔고뱅이	[명사][방언]	NNG	00_00_00	팔꿈치	14, 19
팔꼬배기	[명사][방언]	NNG	00_00_00	팔꿈치	13, 14, 19
팔꼬배이	[명사][방언]	NNG	00_00_00	팔꿈치	13, 14, 19
팔꼬뱅이	[명사][방언]	NNG	00_00_00	팔꿈치	13, 14, 19
팔꼽	[명사][방언]	NNG	00_00_00	팔꿈치	13, 14, 19
팔매원	[명사][방언]	NNG	00_00_00	판매원	6, 7, 13, 14, 19, 20
팡석	[명사][방언]	NNG	00_00_00	방석	13, 14, 19
퍼단	[명사][방언]	NNG	00_00_00	포대기	13, 14, 19
퍼라리	[명사][방언]	NNG	00_00_00	누더기	8, 9, 14, 18, 19
퍽석돌	[명사][방언]	NNG	00_00_00	푸석돌	13, 14, 19
펄라리	[명사][방언]	NNG	00_00_00	누더기	14, 19
펜리	[명사][방언]	NNG	00_00_00	편리	14, 19
포톨	[명사][방언]	NNG	00_00_00	홀아비	14, 19
푸나물	[명사][방언]	NNG	00_00_00	풋나물	14, 16, 18, 19
푸저리	[명사][방언]	NNG	00_00_00	푸성귀	13, 14, 19
푸짼자리	[명사][방언]	NNG	00_00_00	잠자리	13, 14, 19
풋저리	[명사][방언]	NNG	00_00_00	푸성귀	14, 19
풍넌	[명사][방언]	NNG	00_00_00	풍년	13, 14, 19
피마지	[명사][방언]	NNG	00_00_00	피마자	4, 6, 7, 8, 11, 12, 14, 15, 18, 19, 20
하눌	[명사][방언]	NNG	00_00_00	하늘	4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 19
하물차	[명사][방언]	NNG	00_00_00	화물차	5, 6, 14, 15, 16, 18, 19, 20
하이꼬	[명사][방언]	NNG	00_00_00	학교	13, 14, 19
하펨	[명사][방언]	NNG	00_00_00	하품	7, 13, 14, 15, 16, 18, 19
하핌	[명사][방언]	NNG	00_00_00	하품	14, 19
한겥	[명사][방언]	NNG	00_00_00	반나절	13, 14, 19
한불로	[부사][방언]	MAG	00_00_00	함부로	14, 19
할마니	[명사][방언]	NNG	01_00_00	할머니	6, 8, 9, 10, 13, 14, 19
할마니	[감탄사][방언]	IC	02_00_00	할머니	6, 8, 9, 10, 13, 14, 19
할아바지	[명사][방언]	NNG	01_00_00	할아버지	10, 13, 14, 17, 19
할아바지	[감탄사][방언]	IC	02_00_00	할아버지	10, 13, 14, 17, 19
함부루	[부사][방언]	MAG	00_00_00	함부로	4, 8, 11, 12, 13, 14, 15, 16, 18, 19
함불로	[부사][방언]	MAG	00_00_00	함부로	8, 9, 10, 14, 19
항것신	[명사][방언]	NNG	00_00_00	헝겊신	13, 14, 19
해가루	[명사][방언]	NNG	00_00_00	횟가루	5, 13, 14, 15, 18, 19, 20
해가부리	[명사][방언]	NNG	00_00_00	해바라기	14, 16, 18, 19
해나무	[명사][방언]	NNG	00_00_00	홰나무	5, 6, 7, 8, 9, 13, 14, 18, 19, 20
해불	[명사][방언]	NNG	00_00_00	횃불	5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20
해이실	[명사][방언]	NNG	00_00_00	회의실	5, 14, 15, 18, 19
햇가루	[명사][방언]	NNG	00_00_00	횟가루	13, 14, 19
햇불	[명사][방언]	NNG	00_00_00	횃불	6, 7, 8, 9, 13, 14, 15, 18, 19, 20
향기럽다	[형용사][방언]	VA	00_00_00	향기롭다	13, 14, 19
향기하다	[형용사][방언]	VA	00_00_00	향기롭다	6, 13, 14, 19, 20
허구역	[명사][방언]	NNG	00_00_00	헛구역질	13, 14, 19
허러띠	[명사][방언]	NNG	00_00_00	허리띠	4, 5, 14, 19
허부재기	[명사][방언]	NNG	00_00_00	허수아비	13, 14, 19
허자비	[명사][방언]	NNG	00_00_00	허수아비	14, 19
허주재비	[명사][방언]	NNG	00_00_00	허수아비	13, 14, 19
헐깝데기	[명사][방언]	NNG	00_00_00	허물	14, 19
헐미	[명사][방언]	NNG	00_00_00	헌데	13, 14, 15, 19, 20
헐티개	[명사][방언]	NNG	00_00_00	채칼	13, 14, 19
험짜리	[명사][방언]	NNG	00_00_00	흉터	13, 14, 19
헙차개	[명사][방언]	NNG	00_00_00	호주머니	13, 14, 19
헝데	[명사][방언]	NNG	00_00_00	형제	13, 14, 19
헤디다	[동사][방언]	VV	00_00_00	헤지다	13, 14, 16, 18, 19
헤색	[명사][방언]	NNG	00_00_00	회색	5, 11, 12, 13, 14, 16, 18, 19
호감지	[명사][방언]	NNG	00_00_00	고구마	13, 14, 19
호까	[명사][방언]	NNG	00_00_00	효과	6, 7, 14, 15, 16, 18, 19, 20
호큼	[명사][의존][방언]	NNB	00_00_00	움큼	14, 19
홀루	[부사][방언]	MAG	00_00_00	홀로	14, 15, 16, 18, 19
홑입성	[명사][방언]	NNG	00_00_00	홑옷	13, 14, 19
