표제어	품사	세종태그	어깨번호	뜻풀이	지역
굉메리	[명사][방언]	NNG	00_00_00	공미리	4, 16
교가서	[명사][방언]	NNG	00_00_00	교과서	6, 7, 15, 16, 18, 20
교론	[명사][방언]	NNG	00_00_00	결혼	12, 16, 18
구꿍하다	[동사][방언]	VV	00_00_00	알랑거리다	16
구냐	[명사][방언]	NNG	00_00_00	구멍	16
구냐이	[명사][방언]	NNG	00_00_00	구멍	16
구냥	[명사][방언]	NNG	00_00_00	구멍	10, 16
구냬	[명사][방언]	NNG	00_00_00	구멍	16
구넉	[명사][방언]	NNG	00_00_00	구멍	5, 6, 11, 12, 13, 14, 15, 16, 17, 18, 19
구녕	[명사][방언]	NNG	01_00_00	구멍	4, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17
구녜이	[명사][방언]	NNG	00_00_00	구멍	16
구데소니	[명사][방언]	NNG	00_00_00	구두쇠	16
구뎅이	[명사][방언]	NNG	02_00_00	구덩이	4, 8, 10, 12, 15, 16, 18
구둘	[명사][방언]	NNG	01_00_00	구들	4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 18, 19, 20
구둘고래	[명사][방언]	NNG	00_00_00	방고래	16
구둣수리	[명사][방언]	NNG	00_00_00	구둣주걱	16
구래미	[명사][방언]	NNG	00_00_02	암퇘지	16
구렁깨	[명사][방언]	NNG	00_00_00	우물	16
구렁물	[명사][방언]	NNG	00_00_00	우물	16
구레	[명사][방언]	NNG	02_00_00	능구렁이	15, 16
구레세미	[명사][방언]	NNG	00_00_00	구레나룻	16, 18
구레쉐미	[명사][방언]	NNG	00_00_00	구레나룻	13, 14, 15, 16, 19
구레쉠	[명사][방언]	NNG	00_00_00	구레나룻	6, 7, 15, 16, 18, 20
구루다	[동사][방언]	VV	02_00_00	골다	14, 15, 16, 18
구루다	[동사][방언]	VV	01_00_00	구르다	7, 12, 13, 14, 15, 16, 18, 19, 20
구루매	[명사][방언]	NNG	01_00_00	두루마기	16
구룸	[명사][방언]	NNG	01_00_00	구름	4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 18, 20
구룸	[명사][방언]	NNG	02_00_00	그림	16, 18
구리	[명사][방언]	NNG	04_00_00	그네	16
구리	[명사][방언]	NNG	05_00_00	여드름	16
구리셈	[명사][방언]	NNG	00_00_00	구레나룻	6, 15, 16, 18
구리쇄미	[명사][방언]	NNG	00_00_00	구레나룻	15, 16, 18, 20
구리쇠미	[명사][방언]	NNG	00_00_00	구레나룻	16
구리쉐미	[명사][방언]	NNG	00_00_00	구레나룻	16
구림재	[명사][방언]	NNG	00_00_00	그림자	16
구먹더거리	[명사][방언]	NNG	00_00_00	굴뚝목	16
구몌이	[명사][방언]	NNG	00_00_00	구멍	16
구묵	[명사][방언]	NNG	01_00_00	굴뚝	15, 16
구미리	[명사][방언]	NNG	00_00_00	귀리	14, 16
구버기	[명사][방언]	NNG	00_00_00	구석	16, 18
구벅	[명사][방언]	NNG	00_00_00	구석	16
구베기	[명사][방언]	NNG	00_00_00	구석	16, 18
구부다	[동사][방언]	VV	00_00_00	굽다	16, 18
구부레	[명사][방언]	NNG	00_00_00	굴렁쇠	15, 16
구불기다	[동사][방언]	VV	00_00_00	굴리다	15, 16
구새	[명사][방언]	NNG	03_00_00	굴뚝	15, 16
구서기	[명사][방언]	NNG	00_00_00	구석	13, 14, 15, 16, 18, 19, 20
구세기	[명사][방언]	NNG	00_00_00	구석	7, 13, 14, 16, 18, 19
구셥다	[형용사][방언]	VA	00_00_00	아쉽다	16
구시	[명사][방언]	NNG	02_00_00	구유	6, 7, 8, 9, 12, 15, 16
구얘	[명사][방언]	NNG	00_00_00	구멍	15, 16, 18
구영	[명사][방언]	NNG	02_00_00	구멍	4, 6, 7, 15, 16
구옝	[명사][방언]	NNG	00_00_00	구멍	16
구이채	[명사][방언]	NNG	00_00_00	귀지	15, 16, 18
구제비	[명사][방언]	NNG	01_00_00	칼새	13, 14, 15, 16
