표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아
우편	[명사][방언]	NNG	00_00_00	우펜	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
우편국	[명사][방언]	NNG	00_00_00	 	 	우펜국, 우펜소	우펜국	 	 	 	 	 	 	 	 	 	 	 	 	우펜국, 우펜소	 
우편물	[명사][방언]	NNG	00_00_00	우펜물	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
우편함	[명사][방언]	NNG	00_00_00	우펜함	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
우표	[명사][방언]	NNG	00_00_00	우푀	 	우포	우포	 	 	우펴	우펴	 	우포	우포	우페	우페	 	우페, 우펴	우포	우포	 
우표딱지	[명사][방언]	NNG	00_00_00	우푀딱지	 	딱지포	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
우환덩어리	[명사][방언]	NNG	00_00_00	 	 	 	우한디	 	 	 	 	 	 	 	 	 	 	 	 	 	 
욱성	[명사][방언]	NNG	00_00_00	 	 	 	 	뚝성	뚝성	 	 	 	 	 	 	 	 	 	 	 	 
욱신거리다	[동사][방언]	VV	00_00_00	 	 	 	 	득신거리다, 우끈거리다	득신거리다, 우끈거리다	 	 	 	 	 	 	 	 	 	 	 	 
욱신욱신	[부사][방언]	MAG	00_00_00	 	 	 	 	득신득신	 	 	 	 	 	 	 	 	 	 	 	 	 
욱신욱신하다	[동사][방언]	VV	00_00_00	 	 	 	 	우끈우끈하다	우끈우끈하다	 	 	 	 	 	 	 	 	 	 	 	 
욱이다	[동사][방언]	VV	00_00_00	 	 	 	 	욱에다	욱에다	 	 	 	 	 	 	 	 	 	 	 	 
욱적욱적	[부사][방언]	MAG	00_00_00	욱작욱작	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
욱적욱적하다	[동사][방언]	VV	00_00_00	욱작욱작하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
운감	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	언감	 	 	 	 	 	 	 	 	 
운김	[명사][방언]	NNG	00_00_00	운짐	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
운동장	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	운동당	운동당	 	 	 	 	운동당	 	 
운동화	[명사][방언]	NNG	00_00_00	운동아	 	베구두	 	베신	베신	 	 	 	 	 	 	 	 	 	 	 	 
운두	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	운디	 	 	 	 	 	 	 	 	 
운명	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	운멩	 	 	 	 	 	 	 	 	 
운반선	[명사][방언]	NNG	00_00_00	 	 	 	 	꼬도리선, 꼬드레선, 운판선	 	 	 	 	 	 	 	 	 	 	 	 	 
운수	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	운쉬	 	 	 	 	 	 	 	 	 
운전수	[명사][방언]	NNG	00_00_00	운정수	 	 	 	 	 	 	 	 	운던수	운던수	 	운던수	 	운던수	운던수	 	 
울걱거리다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	굴걱거리다	 	 	 	 	 	 	 	 	 
울걱울걱	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	구글구글, 굴구락굴구락	 	 	 	 	 	 	 	 	 
울고불고	[부사][방언]	MAG	00_00_00	울구불구	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
울고불고하다	[동사][방언]	VV	00_00_00	울구불구하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
울긋불긋	[부사][방언]	MAG	00_00_00	 	 	 	 	울굿불굿	 	 	 	 	 	 	 	 	 	 	 	 	 
울긋불긋하다	[형용사][방언]	VA	00_00_00	 	 	 	 	울굿불굿허다	 	 	 	 	 	 	 	 	 	 	 	 	 
울담	[명사][방언]	NNG	00_00_00	 	담울타리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
울대뼈	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	주랑모디	 	 	 	 	 
울뚝울뚝	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	울딱울딱	 	 	 	 	 	 	 	 	 
울렁거리다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	울락거리다, 울랑거리다	 	 	 	 	 	 	 	 	 
울렁울렁	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	울랑울랑, 울락울락, 울랑들랑	 	 	 	 	 	 	 	 	 
울리다	[동사][방언]	VV	00_00_00	 	 	 	울게다, 울레다, 울레다	 	 	 	 	지울리다	 	 	 	 	 	 	 	 	 
울리다	[동사][방언]	VV	02_00_00	 	 	 	 	 	 	 	 	 	 	 	울기다	울기다	 	 	 	 	 
울먹이다	[동사][방언]	VV	00_00_00	 	 	 	 	울멕이다	 	 	 	 	 	 	 	 	 	 	 	 	 
울며불며	[부사][방언]	MAG	00_00_00	울미불미	 	 	 	 	 	 	 	울멍시르멍	 	 	 	 	 	 	 	 	 
울며불며하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	울멍시르멍하다	 	 	 	 	 	 	 	 	 
울바자	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	울파주, 울바주	울파주, 울바주, 울파자	 	 	울바주, 울배재	 	 	 	 
울보	[명사][방언]	NNG	00_00_00	울벵이, 울빙이, 찌르벵이, 찔뱅이, 찔비이, 찔빙이	 	울내미, 짠보	삘래미	움보	 	 	 	 	 	 	우씨비, 울시비	 	 	 	 	 	 
울부짖다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	울흐리다	 	 	 	 	 	 	 	 	 
울안	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	우잣	 	 	 	 	 	 	 	 	 
울음	[명사][방언]	NNG	00_00_00	 	 	 	울움	 	 	 	 	우념	 	 	 	 	 	 	 	 	 
울음보	[명사][방언]	NNG	00_00_00	울움보, 울움보따리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
울음소리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	우념소리	 	 	 	 	 	 	 	 	 
울짱	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	우리통	 	 	 	 	 	 	 	 	 
울창하다	[형용사][방언]	VA	00_00_00	 	 	 	 	울미하다, 울비하다	울미하다, 울비하다	 	 	 	 	 	 	 	 	 	 	 	 
울컥	[부사][방언]	MAG	00_00_00	울커덩	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
울컥울컥	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	울칵울칵	 	 	 	 	 	 	 	 	 
울컥하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	울딱하다	 	 	 	 	 	 	 	 	 
울타리	[명사][방언]	NNG	00_00_00	울따리, 바재, 울타락	바재	우타리, 울따리, 우따리, 우딸, 울다리, 울짤, 훌타리	우리, 울딸, 바재, 우따리, 우딸, 울때리	우타리, 후타리, 울장	후타리, 훌타리	울따레, 훌타리	울따리, 울따레	울드리	 	환당	바재, 배재태, 울란, 울탕	배재, 개배재	 	울따레	 	 	 
울타리고둥	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	지름보말	 	 	 	 	 	 	 	 	 
울퉁불퉁	[부사][방언]	MAG	00_00_00	엉덜멍덜	 	 	이틀이틀	 	 	 	 	어글락다글락, 얼크락달크락, 울뚱불뚱	 	 	 	 	 	 	 	 	 
울퉁불퉁하다	[형용사][방언]	VA	00_00_00	 	 	 	이틀이틀하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
울화	[명사][방언]	NNG	00_00_00	 	 	울애	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
울화병	[명사][방언]	NNG	00_00_00	울화벵	 	울애벵	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
움	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	움굴	 	 	 	 	 
움	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	 	 	음	 	 	 	 
움	[명사][방언]	NNG	02_00_00	 	 	 	 	 	 	 	 	 	 	따움	 	 	 	 	 	 	 
움딸	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	빌은딸	 	 	 	 	 	 	 	 	 
움막	[명사][방언]	NNG	00_00_00	 	 	 	 	울막	울막	 	 	엄막	 	 	 	 	 	 	 	 	 
움막집	[명사][방언]	NNG	00_00_00	 	 	 	 	죽담집	 	 	 	 	 	 	 	 	 	 	 	 	 
움벼	[명사][방언]	NNG	00_00_00	 	 	 	 	아들베	아들베	 	 	 	 	 	 	 	 	 	 	 	 
움직거리다	[동사][방언]	VV	00_00_00	 	 	 	 	움직기리다, 움쩍띠다	 	 	 	 	 	 	 	 	 	 	 	 	 
움직대다	[동사][방언]	VV	00_00_00	 	 	 	 	움적디다	움적디다	 	 	 	 	 	 	 	 	 	 	 	 
움직이다	[동사][방언]	VV	00_00_00	 	 	 	 	움죽이다, 움쥑이다	움죽이다, 움쥑이다	 	 	움질기다, 오멍하다, 오목거리다, 오목걸다	 	 	 	 	 	움쥑이다	 	 	 
움직임	[명사][방언]	NNG	00_00_00	 	 	 	 	움죽임, 움즉임	움죽임	 	 	 	 	 	 	 	 	 	 	 	 
움쩍	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	움짝	 	 	 	 	 	 	 	 	 
움쩍움쩍	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	움짝움짝, 으싹으싹, 으쌍으쌍	 	 	 	 	 	 	 	 	 
움쩍움쩍하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	으싹으싹하다, 으쌍으쌍하다	 	 	 	 	 	 	 	 	 
움츠러들다	[동사][방언]	VV	00_00_00	 	 	 	 	움치러들다	 	 	 	 	 	 	 	 	 	 	 	 	 
움츠러지다	[동사][방언]	VV	00_00_00	움치레지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
움츠리다	[동사][방언]	VV	00_00_00	 	 	 	옴추리다, 움추리다	 	 	 	 	 	 	다과끼다	 	 	 	 	 	 	 
움켜잡다	[동사][방언]	VV	00_00_00	 	 	 	 	더우잡다, 더워잡다, 움케잡다	 	 	 	 	 	 	 	 	 	 	 	 	 
움켜쥐다	[동사][방언]	VV	00_00_00	 	 	 	 	오마쥐다, 움케쥐다	 	 	자배기들다	 	 	 	 	 	 	 	 	 	 
움큼	[명사][의존][방언]	NNB	00_00_00	오쿰	 	오쿰, 오큼, 호쿰	오쿰, 오큼	오큼, 옴쿰, 움크룸	오큼	주머기, 주메기	오쿰	 	 	호큼	 	오큼, 움쾜	 	오큼, 움쾜	호큼	오큼	 
움키다	[동사][방언]	VV	00_00_00	 	 	 	훔치다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
움퍽움퍽	[부사][방언]	MAG	00_00_00	 	 	 	 	움퍽짐퍽	 	 	 	 	 	 	 	 	 	 	 	 	 
움펑눈	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	우먹눈	우먹눈	 	 	 	 	 
움푹	[부사][방언]	MAG	00_00_00	움북	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
움푹움푹	[부사][방언]	MAG	00_00_00	 	 	 	 	움푹짐푹	 	 	 	오막오막, 움싹움싹	 	 	 	 	 	 	 	 	 
움푹움푹하다	[형용사][방언]	VA	00_00_00	 	 	 	 	움퍽짐퍽하다	 	 	 	오막오막하다, 우막우막하다	 	 	 	 	 	 	 	 	 
움푹지다	[형용사][방언]	VA	00_00_00	 	 	 	 	옴팍지다	옴팍지다	 	 	 	 	 	 	 	 	 	 	 	 
움푹하다	[형용사][방언]	VA	00_00_00	움북하다	 	 	 	옴목허다	 	 	 	움팡하다, 움수룩하다, 움숙하다, 움싹하다, 움치락하다, 움탕하다	 	 	 	 	 	 	 	 	 
웃거름	[명사][방언]	NNG	00_00_00	웃걸금	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
웃국	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	웃곡	 	 	 	 	 	 	 	 	 
웃기	[명사][방언]	NNG	00_00_00	우겡이, 우기이	 	 	우찌시, 웃게	우찌지	우찌시, 우찜	우찌시, 웃기시	 	 	 	 	 	 	 	 	 	 	 
웃기다	[동사][방언]	VV	00_00_00	 	 	이끼다	윗게다, 윗기다	 	 	 	 	웃지다	 	 	 	 	 	 	 	 	 
웃기떡	[명사][방언]	NNG	00_00_00	 	 	 	잔편	웃지지	 	 	 	우지시, 우찌게, 우찌끼	 	 	 	우구씨	 	 	 	 	 
웃다	[동사][방언]	VV	00_00_00	 	 	윗다, 잇다	윗다	우스다	 	 	 	우시다	 	 	 	 	 	 	 	 	 
웃돈	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	넹기, 우가, 우전, 운가	 	 	 	 	 	 	 	 	 
웃비걷다	[동사][방언]	VV	00_00_00	 	 	웃비들다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
웃옷	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	웃걸기	웃걸기	 	 	 	 	 	 	 
웃음	[명사][방언]	NNG	00_00_00	웃움	 	잇음	윗음, 윗임	잇임	 	 	 	웃음차제기	 	 	 	 	 	 	 	 	 
웃음거리	[명사][방언]	NNG	00_00_00	웃움거리	 	 	 	 	 	 	 	웃음건지	 	 	 	 	 	 	 	 	 
웃음병	[명사][방언]	NNG	00_00_00	 	 	웃음벵	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
웃음소리	[명사][방언]	NNG	00_00_00	웃움소리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
웃음판	[명사][방언]	NNG	00_00_00	웃움판	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
웃자라다	[동사][방언]	VV	00_00_00	 	 	 	울크다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
웃짐	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	갬쟁이	 	 	 	 	 	 	 
웃통	[명사][방언]	NNG	00_00_00	 	 	 	 	울텅, 울통, 웃텅	 	 	 	 	 	 	 	 	 	 	 	 	 
웅그리다	[동사][방언]	VV	00_00_00	 	 	 	 	응굴씨다	응굴씨다	 	 	 	 	 	 	 	 	 	 	 	 
웅덩이	[명사][방언]	NNG	00_00_00	방죽, 움벙, 움더이, 움덩이, 움데이, 움뎅이, 웅덩, 웅데이, 웅디이	응뎅이	움벙, 웅디, 덩벙, 돔봉, 둠봉, 둠부, 둠북, 둥벙, 드움부, 듬붕, 뚬벙, 뜸붕, 웅덩, 웅동, 웅둥, 웅딩이, 응덩	움벙, 웅디, 듬바, 듬붕, 웅딩이	둠벵, 뚬벙	방죽, 듬버이, 뚬벙, 뜸붕, 틈벙	방죽, 뚬벙, 뚱벙, 웅딩이, 틈벙	방죽, 움벙, 웅팅이, 음덩이	 	웅텡이, 옹텡이, 웅덩, 웅데이	웅더리, 웅텡이, 옹텡이, 웅크제기, 웅크젱이	옹텡이, 웅덩, 웅데이, 훔	웅더, 웅터가리, 웅텅개, 웅덩, 웅데이, 훔	웅텡이, 웅데이, 웅테이	웅데	 	 	웅데
