표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아
가	[명사][방언]	NNG	00_00_00	가상이, 가새이	 	가상이, 가싱이, 끈티, 석드리	가상이, 가서리	가상이, 가테	가상이, 가테, 가티	가상이	가상이, 가새이	가헤, 갓내, 갓디, 그티	 	 	 	 	 	 	 	 	 
가	[명사][방언]	NNG	01_00_00	갓, 갖	 	가새, 가생이, 갓	가새	가양, 갓	 	가생이, 갓	가생이, 갓	에염	 	 	 	 	 	 	 	 	 
가게	[명사][방언]	NNG	00_00_00	 	 	 	 	가걔	하꼬방	송방, 즌빵	과게	 	 	자굿방, 제잣방	 	 	 	 	 	 	 
가겟방	[명사][방언]	NNG	00_00_00	가겟바	 	 	가것방	 	 	가갓방, 가겟방이	 	 	 	 	 	 	 	 	 	 	 
가겟집	[명사][방언]	NNG	00_00_00	송방집	 	 	 	 	 	 	과겟집, 송반집	 	 	 	 	 	 	 	 	 	 
가격	[명사][방언]	NNG	00_00_00	 	 	가겍	 	 	 	 	 	까격, 깨격	 	 	 	 	 	 	 	 	 
가관	[명사][방언]	NNG	00_00_00	과관	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가구점	[명사][방언]	NNG	00_00_00	농방, 농방점	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가까스로	[부사][방언]	MAG	00_00_00	 	가까시	 	 	가가시, 가까시로	 	 	가까수로	 	 	가까스루	 	 	개까스로, 거꺼스로	 	 	 	 
가까이	[명사][방언]	NNG	00_00_00	가차이, 가차이	 	가작히, 가잡기, 가잡기, 가죽이, 가죽이, 가줍기, 가줍기, 가차이, 가차이, 가찹기, 가찹기, 가챕이, 가챕이	가작히	 	 	 	 	족것디, 가차이, 가차이, 저껏디, 저껏드레, 저껏드레	가채이, 가채이	가깜이, 가깜이, 거꺼이, 거꺼이	가채, 가채비, 가깨, 가깨	가채비, 가찹이, 가찹이	 	 	 	 	 
가까이하다	[동사][방언]	VV	00_00_00	가차이하다	 	 	 	뽀작뽀작허다	 	 	 	 	 	 	 	 	 	 	 	 	 
가깝다	[형용사][방언]	VA	00_00_00	가찹다, 가껍다, 가첩다, 개직다, 개찹다, 개칩다, 게깝다, 게찹다	가껍다, 가꼽다, 가첩다, 가춥다	가접다, 가죽다, 가찹다, 개작다, 가익다, 가잡다, 가적다, 가죽하다, 가줍다, 가집다, 가짭다, 가착다, 가쳅다, 개깹다, 개끕다, 개적다, 개접다, 개죽다, 개직다	가찹다, 개작다, 가적다, 가첩다, 가칙다, 개깝다, 개꿉다, 개직다, 개찹다, 개칩다	가찹다, 가끕다, 가삽다, 가차웁다, 가참허다, 개깝다, 개접다, 개죽허다, 개죽다, 개줍다, 개직다, 개찹다, 개첩다, 깨접다, 나깝다	가찹다, 가착다	가찹다, 가껍다, 가차웁다, 가착다, 가첩다	가찹다, 가차웁다, 개줍다, 개찹다, 개춥다, 게찹다	가찹다, 가차웁다, 바디다	가찹다, 가짭다	가깜하다, 가작다, 가찹다, 가짭다, 거껍다	개깝다	가짭다	까찹다	 	 	 	 
가깝디가깝다	[형용사][방언]	VA	00_00_00	가꿉데가꿉다, 가찹데가찹다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가끔	[부사][방언]	MAG	00_00_00	가껌	뜸뜸이	혹가다, 가껌, 답대비, 댑대비, 이땀가다가	가껌, 가꼼, 어찌다가	이따가믄, 이따그믄	 	 	가껌	 	 	 	뜸뜸이	 	 	 	 	가껌	 
가끔가끔	[부사][방언]	MAG	00_00_00	가꿈가꿈	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가끔가다	[부사][방언]	MAG	00_00_00	가꿈가더	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가끔가다가	[부사][방언]	MAG	00_00_00	가꿈가더가, 가꿈가더거, 가꿈가드거	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가난뱅이	[명사][방언]	NNG	00_00_00	가난배이, 가난재이	 	 	 	가난배기	가난배기	 	 	가난방이	 	 	 	 	 	 	 	 	 
가난하다	[형용사][방언]	VA	00_00_00	 	 	고곱하다, 기찹다	기찹다	가늘허다, 구참시럽다	 	구찬하다	 	서난허다	 	 	 	 	 	 	 	 	 
가납사니	[명사][방언]	NNG	00_00_00	 	 	 	 	가짠내	 	 	 	 	 	 	 	 	 	 	 	 	 
가냘프다	[형용사][방언]	VA	00_00_00	가날푸다, 갸날프다	 	가날푸다	가날푸다, 가냘푸다, 가널푸다, 가널프다, 가얄푸다	가날프다	 	가날푸다, 가냘쁘다, 개냘프다, 갸날프다	가날푸다, 갸날푸다	 	 	 	가야비다	 	 	 	 	 	 
가느다랗다	[형용사][방언]	VA	00_00_00	가느다하다, 가느다라하다	 	가느다라다, 가느다란하다, 가느다람하다, 가느다런하다, 가느렇다	가느다라다, 가느다란하다	 	 	가느달하다	가느다란하다, 가늘다란하다	가노롬하다, 가노롱하다, 가노수룽하다, 잠지름하다	 	 	 	 	 	 	 	 	 
가느스름하다	[형용사][방언]	VA	00_00_00	가느시룸하다	 	가느다름하다, 가느소롬하다, 가느수럼하다, 거너수룸하다	간소롬하다, 가느수룸하다	가노롬허다, 가느소롬허다, 가느소름허다, 가느스럼하다, 가느스롬허다, 간스럼하다, 간스롬하다, 간스름하다, 간시럼하다, 간시롬하다, 간시름하다, 갠소롬허다	가노롬허다, 가느소롬허다, 가느소름허다, 가느스럼하다, 가느스롬허다, 가르스름하다, 갠소롬허다	가느스럽다	 	가노롱하다, 가노소롱하다, 가느수룽하다, 가느스롱하다, 간소롱하다	 	 	 	 	 	 	 	 	 
가느스름히	[부사][방언]	MAG	00_00_00	가느시룸히	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가는갈퀴나물	[명사][방언]	NNG	00_00_00	 	 	 	 	가는갈키노물, 가는갈키노믈	가는갈키노믈	 	 	 	 	 	 	 	 	 	 	 	 
가는귀먹다	[동사][방언]	VV	00_00_00	 	 	 	 	가는귀묵다, 실먹다, 실기먹다	실먹다	 	 	가는귀막다	 	 	 	 	 	 	 	 	 
가는소금	[명사][방언]	NNG	00_00_00	 	 	고운소곰	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가는잎할미꽃	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	고냉이쿨	 	 	 	 	 	 	 	 	 
가는잎향유	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	콩생이쿨, 풀콩생이쿨	 	 	 	 	 	 	 	 	 
가는체	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	모수미	 	 	 	 	 	 	 
가늘다	[형용사][방언]	VA	00_00_00	가느다	 	가눌다, 가느다, 약캅다	가느다, 가늘따	가눌다, 가눕다, 가늘하다, 가늘허다	가눌다, 가늘허다	가날다	 	까늘다, 깨늘다	 	 	 	가느다	 	가눌다	 	가느다	 
가늘디가늘다	[형용사][방언]	VA	00_00_00	가느데가늘다	 	 	 	 	 	 	 	가는가는하다	 	 	 	 	 	 	 	 	 
가늠	[명사][방언]	NNG	00_00_00	 	 	눈가름, 눈어름	어럼	가남, 가눔, 까남, 눈가람	가남, 갈름	갈름	 	가남	 	 	 	 	 	 	 	 	 
가늠하다	[동사][방언]	VV	00_00_00	 	 	 	 	가남허다	 	 	 	가남하다	 	 	 	 	 	 	 	 	 
가능하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	 	가넝하다	 	 	 	 
가다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	니가다	 	 	 	 	 	 	 
가다가	[부사][방언]	MAG	00_00_00	가더가, 가더거, 가드거	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가다가다	[부사][방언]	MAG	00_00_00	가더가더	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가다랑어	[명사][방언]	NNG	00_00_00	 	 	강고등어	 	강고등어	 	 	 	멍치, 멍쳉이, 소용치	목맨둥이	 	 	 	 	 	 	 	 
가다루다	[동사][방언]	VV	00_00_00	 	 	 	 	닥달허다	 	 	 	 	 	 	 	 	 	 	 	 	 
가닥	[명사][방언]	NNG	00_00_00	가다리, 가달, 가달배이, 가닥지, 가달패기, 가달피이	 	 	가대이	가다구	가다구	 	 	가달머리, 껍	 	가다리	 	 	 	 	 	 	 
가닥가닥	[부사][방언]	MAG	00_00_00	가달가달	 	까덜까덜	가대기가대기, 가디기가디기, 가래기가래기	까락까락, 까락까락	까락까락, 까락까락	 	 	 	 	 	 	 	 	 	 	 	 
가닥가닥하다	[동사][방언]	VV	00_00_00	 	 	까덜까덜하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가당찮다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	 	 	 	가당챊다	 	 	 	 	 	 
가대기	[명사][방언]	NNG	00_00_00	 	 	가대기질	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가댁질	[명사][방언]	NNG	00_00_00	 	 	 	꼬댁질	 	 	 	 	과닥, 가닥질, 가달거리, 가달춤, 과닥질, 셍과댁	 	 	 	 	 	 	 	 	 
가댁질하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	가닥질하다, 가달거리하다, 가달춤추다, 과닥하다, 과닥질하다	 	 	 	 	 	 	 	 	 
가동가동	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	가동강가동강, 가동강가동강, 개동개동, 개동독닥	 	 	 	 	 	 	 	 	 
가동질	[명사][방언]	NNG	00_00_00	가둥질	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가동질하다	[동사][방언]	VV	00_00_00	가둥질하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가두다	[동사][방언]	VV	00_00_00	가두쿠다, 가추다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가드락가드락	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	가들락가들락, 개들락개들락, 개들랑개들랑	 	 	 	 	 	 	 	 	 
가드락거리다	[동사][방언]	VV	00_00_00	 	 	 	깨드랑그리다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가득	[부사][방언]	MAG	00_00_00	 	 	 	한굼, 한그	까뜩	 	 	 	드끈	 	 	잠북, 장북	자뜩	 	 	 	 	 
가득	[부사][방언]	MAG	01_00_00	 	 	항개	 	따뿍	 	 	 	 	 	 	골똑, 꼴똑	골똑, 꼴똑	 	 	 	 	 
가득가득	[부사][방언]	MAG	00_00_00	가덕가덕	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가득가득하다	[형용사][방언]	VA	00_00_00	가덕가덕하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가득하다	[형용사][방언]	VA	00_00_00	 	 	깍차다, 항거차다, 항거석이다, 항게차다	 	가덕하다, 가득차다, 까득하다, 까득허다, 깍차다, 끄덕허다, 끄뜩허다, 하나차다	까득하다	꼴똑차다, 한극하다	꼴똑차다	가득다, 잠뿍하다	 	가닥하다, 개득하다	골똑차다, 꼴똑차다, 자뜩하다	꼴똑하다, 꼴뚝하다, 자뜩하다	 	꼴똑차다	 	골똑차다, 꼴똑차다	 
가득히	[부사][방언]	MAG	00_00_00	 	 	 	 	복이	 	 	 	 	 	 	 	 	 	 	 	 	 
가든그리다	[동사][방언]	VV	00_00_00	 	 	 	 	가둥끄리다	가둥끄리다	 	 	 	 	 	 	 	 	 	 	 	 
가든하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	 	 	가드근하다	 	 	 	 	 	 	 
가뜩	[부사][방언]	MAG	00_00_00	까떡, 까뜩, 깔떡, 깔뜩	 	개따	까뜩	 	 	 	 	디깍, 수빡, 치깍	 	 	 	 	 	 	 	 	 
가뜩	[부사][방언]	MAG	01_00_00	 	 	 	 	 	 	 	 	 	 	갑북	 	 	 	 	 	 	 
가뜩	[부사][방언]	MAG	02_00_00	 	 	한거	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가뜩가뜩	[부사][방언]	MAG	00_00_00	까떡꺼떡, 깔떡깔떡, 깔뜩깔뜩	 	 	 	까뜩까뜩	 	 	 	 	 	 	 	 	 	 	 	 	 
가뜩이	[부사][방언]	MAG	00_00_00	가띡이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가뜩이나	[부사][방언]	MAG	00_00_00	가띡이나, 가제나, 까타나	 	개따나, 개따내	 	 	 	 	 	 	게따가나, 가따나, 개따나, 게다가나, 까딱이나	가따가나, 게따가나, 가따나, 개따나, 게다가나, 까딱이나, 까탄나	가따가나, 가따나, 그뜩이나	가뜩으나	가따나	 	까탄나	 	 
가뜩하다	[형용사][방언]	VA	00_00_00	까떡하다, 깔떡하다, 깔뜩하다	 	가뜩차다	가뜩차다, 까뜩차다	가뜩채다, 까뜩하다, 까뜩허다	 	까뜩하다	 	디깍하다	 	까뜩차다	까뜩차다	까뜩차다	 	까뜩차다	까뜩차다	가뜩차다, 까뜩차다	 
가라말	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	진가라몰, 가래말, 가레말, 먹가라, 먹가라말, 진가라말	 	 	 	 	 	 	 	 	 
가라사대	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	가르사되	 	 	 	 	 	 	 	 	 
가라앉다	[동사][방언]	VV	00_00_00	가러앉다, 까러앉다	 	깔앉다	깔앉다	깔앙그다, 갈앙그다, 갈앙따, 까라앙따, 깔안지다, 깔앉다, 깔앙따, 깔앙지다, 깔아지다	 	 	 	갈라아지다, 갈라안지다, 갈라앉다, 갈라앚다	 	 	 	 	 	 	 	 	 
가라앉히다	[동사][방언]	VV	00_00_00	가러앉히다, 까러앉히다	 	 	 	갈앙치다, 까라앙치다, 까라앉히다, 깔앉히다, 깔앙치다	까라앉히다	 	 	잔질루다, 잔줄르다	 	 	 	 	 	 	 	 	 
가라지	[명사][방언]	NNG	00_00_00	개래지	 	 	 	 	 	 	 	각작고등에	 	 	 	 	 	 	 	 	 
가라지	[명사][방언]	NNG	02_00_00	 	 	 	 	 	 	 	 	가랏	 	가래지, 반대	 	가래지	 	 	 	 	 
가락	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	가라기, 뱅고리	 	 	 	 	 	 	 	 	 
가락고동	[명사][방언]	NNG	00_00_00	 	 	 	골구사리	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가락국수	[명사][방언]	NNG	00_00_00	가락국시	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가락꼬치	[명사][방언]	NNG	00_00_00	 	 	 	가락꼬지	 	 	 	 	 	 	가래꼬치	 	 	 	 	 	 	 
가락옷	[명사][방언]	NNG	00_00_00	가락쌈, 가락피	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가락지	[명사][방언]	NNG	00_00_00	까락지	 	까락지	까락지	까락지	까락지	까락지	 	가락주, 가락쥐	 	 	 	 	 	까락지	 	까락지	 
가랑니	[명사][방언]	NNG	00_00_00	깔깡니	 	 	깔방니, 까랑니	 	 	 	 	 	 	싸그랑니, 싸그랭이	 	 	 	 	 	 	 
가랑무	[명사][방언]	NNG	00_00_00	가다리무, 가다리무꾸, 가달무, 가달무꾸, 가달배무, 가달배이무꾸, 가달뱅이무, 가랑무이	 	 	 	 	 	 	 	 	 	 	가달무끼, 가달배이무꾸, 가달배이무끼, 가달뱅이무끼, 뱅이무끼	 	 	 	 	 	 
가랑비	[명사][방언]	NNG	00_00_00	갈가랑비, 쌔스랑비	가는비	가시랑비, 가는비, 가락비, 가실비, 까랑비, 깔그랑비, 보실비, 부실비, 사락비, 싸래기비	가락비, 가랭비, 가른비, 가스랑비, 갈가랑비, 갈거랑비, 갈그랑이, 깔그랑비	가는비, 가랭비, 가링비, 느테비, 느테미, 보실비, 부술비, 부실비, 뽀슬비	가는비, 까랑비	가느랑비, 가느랭비, 가는비, 가랭비, 거스렁비, 까랑비	거스렁비, 까랑비	고랑비, 줌버이, 줌베이, 줌벵이	가는비, 넝개비, 소스락비	가는비, 넝개비, 소스락비	가는비, 보온비, 오솔비	가는비, 가랭비, 안개오좀, 큰전새	가는비	가는비, 큰전새	넝개비, 소스락비	가는비, 보온비, 싸래기비, 오솔비	 
가랑비	[명사][방언]	NNG	00_00_01	갈강비, 갈그랑비	 	가그랑비, 갈강비, 갈방비, 구설비, 까실비	갈강비, 갈그랑비, 갈방비	 	 	 	갈강비	 	보수락비	능개비, 보수락비	싸그랑비, 싸락비	 	갈랑비	 	 	 	 
가랑이	[명사][방언]	NNG	00_00_00	가달뱅이, 가라이, 가래이, 가리이	가래이	가랑테이, 가래이, 가랭텡이, 까래이	가구쟁이, 가라이, 가래이, 갈구재이, 다라지	가라이, 가랑태이, 가랑구, 가랑뎅이, 가랑지, 가래이, 가랭태이, 가리젱이, 가자이, 가재이, 가지랭이	가래이, 가르쟁이, 가리재이, 가지라이, 가지랑, 가지래이, 가지랭이	가라이, 가래이, 가래쟁이, 가르쟁이, 가주쟁이, 가지랭이, 개래이	가라이, 가래이	가래이	 	 	 	 	갈래이, 갈랭이	 	 	 	 
가랑이	[명사][방언]	NNG	01_00_00	 	 	가리, 가리쟁이, 갈구쟁이	가구재이, 갈구쟁이	가랑텡이	 	 	 	 	 	 	가다리, 도래	가다리, 도래	 	 	 	 	 
가랑이지다	[동사][방언]	VV	00_00_00	가다리지다, 가달지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가랑잎	[명사][방언]	NNG	00_00_00	가닥잎, 가둑잎, 가랑이파구, 가랑이파리	 	갈방이파리, 갈방입, 갈방입사구, 갈방잎	가랑이파리, 가랑잎사구, 까랍때기, 까랍데기, 까랍덱	떡갈나무입삭	 	가랑입새	 	 	가둑닢, 서가랑닢	가둑닢	가두닢, 가둑잎	가둑잎	 	가둑잎	가둑잎	가둑잎	 
가랑잎	[명사][방언]	NNG	01_00_00	가두기	 	 	 	 	 	 	 	 	가래기	가두기, 가래기	가두기	가두기	 	 	 	 	 
가래	[명사][방언]	NNG	00_00_00	가래삽, 가래추지, 가렝이, 당추재	 	가라추자, 가래추자, 가래줌, 가리줌, 소곰포	가래추자, 가래추지, 산추자, 소곰포, 쉐금포	가래착	가래추자	개래, 가래호두	가래추자, 산추자	가레죽, 갈래죽, 삽가레, 줄갈래	 	 	강차위, 강차이, 광차우, 광차이, 광창이, 당추재	광차이, 광창이, 광치위	 	 	 	 	 
가래	[명사][방언]	NNG	03_00_00	 	 	가래지움	살짝, 살피, 수굼포	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가래	[명사][방언]	NNG	06_00_00	 	 	 	삼포	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가래나무	[명사][방언]	NNG	00_00_00	가래낭그, 가래낭기, 추지낭그, 취지낭그, 취지낭기	 	 	 	 	 	 	 	 	 	 	 	갈냉기	 	 	 	 	 
가래다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	갈개다	갈개다	 	 	 	 	 	 	 
가래떡	[명사][방언]	NNG	00_00_00	가락떡, 이떡, 힌떡, 힌떡가래	갈래떡, 흰떡가래, 힌떡	떡국가래, 게미떡, 골미떡, 국가랭이, 권미떡	가리떡, 골미떡, 골비떡, 떡가래이, 떡골미, 떡골비	데떡, 국가래, 국떡, 떡국가리, 떡국건지	떡대	흔떡, 걸목가래, 흔떡가래, 흰떡가래, 힌떡가래	떡가래, 흔떡가래	갈미떡	 	 	 	떡국대, 국떼기	 	 	 	 	 
가래상어	[명사][방언]	NNG	00_00_00	 	 	주게가부리, 슈거리	 	 	 	 	 	우굼상의, 갈래죽상의	 	수구리	 	 	 	 	 	 	 
가래질	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	가레죽질, 갈래죽질, 갈레질	 	 	 	 	 	 	 	 	 
가래침	[명사][방언]	NNG	00_00_00	가래춤	 	가래춤	 	가래춤, 가리춤	 	 	 	게춤, 게침	 	가라춤	 	 	 	 	 	 	 
가래톳	[명사][방언]	NNG	00_00_00	가래멍어리, 가래덩어리, 가래멍어, 가래툿, 가리토시	 	가래툿, 가러톳, 가리토시, 가리톳	가럼망알, 가럼망울, 가리말	가래덧, 가래때, 가래뜻, 가래텃, 가래틋, 가랫도리, 가랫터, 가리때, 가리태, 가리터, 가릿대	가라투, 가래똘, 가래투, 가리때	가래때, 가랫덕, 가랫덧, 가리때	 	느진돌	 	가라지, 다리낌	 	 	 	 	 	 	 
가랫장부	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	가랫장치	가랫장치	 	 	가래당구, 가래군두, 가랫당부	 	 	 	 	 	 	 
가랫줄	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	가래낀	 	 	 	 	 	 
가량	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	가랭	 	 	 	 	 	 
가량가량하다	[형용사][방언]	VA	00_00_00	개랑개랑하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가려내다	[동사][방언]	VV	00_00_00	가레내다	 	가리내다, 갈리내다, 개라내다, 개리내다, 갤리내다, 주와내다	갈레내다	개리내다, 주워내다, 추레내다, 추려내다, 추리내다, 취레내다	가리내다, 개레내다, 추레내다, 추리내다	 	 	주워내다	 	 	 	 	 	 	 	 	 
가려듣다	[동사][방언]	VV	00_00_00	 	 	골라듣다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가려움	[명사][방언]	NNG	00_00_00	개룸	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가려움증	[명사][방언]	NNG	00_00_00	 	 	 	 	개란정, 개란증	개란증	 	 	 	 	 	 	 	 	 	 	 	 
가려잡다	[동사][방언]	VV	00_00_00	가레잡다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가려지다	[동사][방언]	VV	00_00_00	가레지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가렵다	[형용사][방언]	VA	00_00_00	가룹다, 가립다, 간지룹다, 개랩다, 개럽다, 개렵다, 개롭다, 개룹다, 개릅다, 개립다, 갠지럽다, 게롭다	가럽다, 가롭다, 개렵다	가지랍다, 겅그럽다, 재그럽다, 지거럽다, 가랍다, 가립다, 간가랍다, 간저럽다, 간지랍다, 개랍다, 개롭다, 건거럽다, 건지랍다, 굼지럽다, 껀지럽다, 께거럽다, 께꺼럽다, 제거럽다	지거럽다, 지그럽다, 가럽다, 가룹다, 가립다, 간지랍다, 개랍다, 개럽다, 개롭다, 개룹다, 갠지랍다, 갠지럽다, 갠지롭다, 거럽다, 건거럽다, 건지랍다, 굼지럽다, 지럽다	게랍다, 가랍다, 가릅다, 간지랍다, 간지롭다, 간지룹다, 개랍다, 개럽다, 개렵다, 개롭다, 개룹다, 개릅다, 갠지랍다, 갠지럽다, 근지롭다	가랍다, 가룹다, 개랍다, 개렵다, 개롭다, 개룹다	가럅다, 가럽다, 가려웁다, 가립다, 갈겁다, 갈그럽다, 개랍다, 개럽다, 개렵다, 개립다, 게렵다, 까렵다	갈굽다, 갈겁다, 갈구럽다, 갈그럽다, 갈기럽다, 개럽다, 개렵다, 개롭다, 개룹다, 갠지럽다, 갤굽다, 갤기럽다, 게룹다	가랍다, 가룝다, 가룹다, 가릅다	배릅다, 가랍다, 개럽다, 개렵다, 개룹다, 개릅다, 개립다, 게롭다	개럽다, 개렵다, 개롭다, 개릅다, 개립다, 게롭다, 그니럽다	바랍다, 가랍다, 개랍다, 개럽다, 개롭다, 배랍다, 배렵다	가랍다, 가럽다, 개랍다	가립다, 개럽다, 개렵다, 개릅다	가랍다, 가럽다, 갈그럽다, 개럽다, 개렵다	개럽다, 개렵다, 개롭다	가랍다, 가럽다, 간가랍다, 굼지럽다	 
가령	[부사][방언]	MAG	00_00_00	 	 	 	가렁	갈량	 	 	 	 	 	 	 	 	 	 	 	가렁	 
가로	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	가로셍이, 가르셍이, 가르셍이	 	 	 	 	 	 	 	 	 
가로거치다	[동사][방언]	VV	00_00_00	갈거치다, 갈기치다, 걸그치다	 	 	 	 	 	가러고치다	 	 	 	 	 	 	 	 	 	 	 
가로금	[명사][방언]	NNG	00_00_00	가루금	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가로놓다	[동사][방언]	VV	00_00_00	가루놓다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가로놓이다	[동사][방언]	VV	00_00_00	가루놓키다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가로누이다	[동사][방언]	VV	00_00_00	가루누키다, 가루뉘키다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가로눕히다	[동사][방언]	VV	00_00_00	 	 	가로닙히다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가로다지	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	가루제비	 	 	 	 	 
가로막	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	간쌈	 	 	 	 	 	 	 	 	 
가로막다	[동사][방언]	VV	00_00_00	가루막다	 	 	하기지기다	가라막다	 	 	 	가르막다	 	 	 	 	 	 	 	 	 
가로막히다	[동사][방언]	VV	00_00_00	가루막히다, 가루맥히다	 	가로맥히다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가로맡다	[동사][방언]	VV	00_00_00	 	 	 	하긔지기다	 	 	 	 	가로마트다	 	가루맡다	 	 	 	 	 	 	 
가로변	[명사][방언]	NNG	00_00_00	가루벤	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가로보다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	가루보다	 	가루보다	 	 	 
가로서다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	가로사다	 	 	 	 	 	 	 	 	 
가로세로	[명사][방언]	NNG	00_00_00	가루세루	 	 	 	 	 	 	 	가로지스로, 가로질스로	 	 	 	 	 	 	 	 	 
가로지르다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	가로질르다	 	 	 	 	 	 	 	 	 
가로채다	[동사][방언]	VV	00_00_00	가루채다	 	 	 	가라채다	 	 	 	가로체다	 	 	해끼다	 	 	 	 	 	 
가로퍼지다	[동사][방언]	VV	00_00_00	가루퍼지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가로획	[명사][방언]	NNG	00_00_00	가루획	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가루	[명사][방언]	NNG	00_00_00	갈그	 	까루	까루, 깕	 	까루	 	 	가르이, 까루, 까르	 	 	 	 	 	 	 	 	 
가루	[명사][방언]	NNG	01_00_00	갈구, 갈기	 	갈리	갈기, 갈리	 	 	 	 	가를	갈기	갈기, 갉	 	 	갈루	 	 	 	 
가루눈	[명사][방언]	NNG	00_00_00	갈그눈, 갈기눈, 깔껭이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가루다	[동사][방언]	VV	00_00_00	갈브다	 	갈바싸우다	갈르다	갈보다, 갈비다	 	 	 	 	 	 	 	 	 	 	 	 	 
가루다	[동사][방언]	VV	01_00_00	 	 	갈부다, 감다	갈부다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가꿈가더가	[동사][방언]	VV	01_00_02	 	 	갋다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가루분	[명사][방언]	NNG	00_00_00	갈그분, 갈기분	 	가리분, 딱분	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
